|word|wordcount
0|риа новости|468
1|сообщает риа|377
2|владимир путин|251
3|россии владимир|245
4|начале апреля|235
5|президент россии|226
6|правоохранительных органах|206
7|источник правоохранительных|193
8|ссылкой источник|193
9|ходе расследования|183
10|сообщает интерфакс|177
11|получили ранения|175
12|новости ссылкой|157
13|словам представителя|149
14|официальный сайт|146
15|сообщает официальный|146
16|результате инцидента|143
17|месте происшествия|137
18|сообщается сайте|132
19|главы государства|132
20|данным издания|129
21|погибли получили|120
22|погибли человека|120
23|результате происшествия|119
24|ук рф|115
25|инцидента пострадал|114
26|является одним|113
27|путин заявил|113
28|уголовное статье|112
29|статье ук|108
30|стране насчитывается|107
31|результате взрывов|105
32|происшествия работают|102
33|подписал указ|101
34|возбуждено уголовное|99
35|расследования выяснилось|97
36|настоящее стране|96
37|правительство намерено|95
38|пост главы|95
39|территории россии|95
40|апреля президент|92
41|путин подписал|90
42|интерфакс ссылкой|85
43|среду декабря|84
44|словам представителей|83
45|сборной россии|83
46|результате погибли|82
47|сайте ведомства|80
48|настоящее находится|79
49|частности начале|77
50|результате пожара|76
51|вынужден покинуть|76
52|членов экипажа|73
53|начале июня|72
54|ранее сообщалось|71
55|инцидент произошел|70
56|миллиардов рублей|70
57|миллиарда долларов|68
58|декабря президент|67
59|признает виновным|66
60|назначении нового|64
61|территории страны|64
62|взрывов погибли|63
63|одним крупнейших|63
64|сайт турнира|63
65|мая сообщает|62
66|работают следователи|62
67|передает риа|62
68|принято решение|60
69|ходе столкновений|60
70|президент сша|59
71|заявил ходе|59
72|нарушение правил|57
73|результате взрыва|56
74|среду мая|56
75|хоккея россии|56
76|федерации хоккея|56
77|сайт федерации|56
78|квадратных метров|55
79|владимиром путиным|55
80|министерства обороны|54
81|ходе дискуссии|53
82|случае победы|53
83|сообщает украинская|53
84|прошлой неделе|52
85|начале августа|52
86|мая президент|52
87|произошел взрыв|52
88|президента сша|51
89|стало известно|50
90|следственного комитета|50
91|решение принято|50
92|человека получили|49
93|заявил случае|49
94|составе сборной|49
95|настоящее месте|48
96|словам очевидцев|48
97|президентом россии|48
98|предварительным данным|48
99|россии владимиром|47
100|ближайшее стране|47
101|пересмотреть условия|47
102|декабря сообщает|47
103|указ назначении|46
104|качестве примера|46
105|происшествия пострадал|46
106|правоохранительных органов|46
107|миллиарда рублей|46
108|приняли участие|45
109|настоящее афганистане|45
110|россии продано|45
111|начале мая|45
112|пост главного|45
113|районе подмосковья|45
114|одним самых|45
115|ходе операции|44
116|уголовного дела|44
117|запрете пропаганды|44
118|вина доказана|44
119|закон запрете|44
120|алкогольного опьянения|43
121|правил безопасности|43
122|случае вина|43
123|происшествия погибли|43
124|обороны россии|43
125|сайте следственного|43
126|россии действуют|43
127|данным следствия|43
128|премьер министр|42
129|ходе голосования|42
130|случае успеха|41
131|покинуть страну|40
132|ходе торговой|40
133|погибли числе|40
134|торговой сессии|40
135|президент украины|39
136|петр порошенко|39
137|увеличить число|39
138|миллиардов долларов|39
139|словам министра|39
140|украины петр|39
141|лиги чемпионов|38
142|президента россии|38
143|комитета россии|38
144|прошел референдум|37
145|возбуждении уголовного|37
146|состоянии алкогольного|37
147|порошенко заявил|36
148|ссылкой пресс|36
149|представителя полиции|36
150|прекращении огня|36
151|франции франции|36
152|заявил газпром|36
153|сотрудники милиции|36
154|протяжении нескольких|36
155|взрыв произошел|36
156|словам настоящее|35
157|главного тренера|35
158|отмечает издание|35
159|глава государства|35
160|встреча завершилась|35
161|москве прошел|35
162|пост президента|35
163|завершилась счетом|35
164|данным росстата|34
165|отношении возбуждено|34
166|сотрудники правоохранительных|34
167|неизвестном направлении|34
168|пресс службу|34
169|министра обороны|34
170|введены ограничения|33
171|происшествия прибыли|33
172|сайте организации|33
173|рынке жилья|33
174|последние годы|33
175|выплату дивидендов|33
176|столкновений полицией|33
177|случае принятия|33
178|различной степени|32
179|степени тяжести|32
180|отмечает агентство|32
181|словам ближайшее|32
182|финале лиги|32
183|общий объем|32
184|безопасности движения|32
185|собирается уходить|32
186|результате столкновения|31
187|дональд трамп|31
188|пресс службе|31
189|заявил собирается|31
190|покинуть пост|31
191|газпром намерен|31
192|верховную раду|31
193|числе детей|31
194|сша дональд|31
195|стране действуют|31
196|пожара погибли|30
197|владимиру путину|30
198|й минуте|30
199|ввп россии|30
200|качестве компенсации|30
201|получили травмы|30
202|россии россии|30
203|выяснилось ходе|30
204|представителя власти|30
205|провел боя|30
206|счет средств|29
207|россии футболу|29
208|итоге композиция|29
209|газпром является|29
210|представителя ведомства|29
211|намерено пересмотреть|29
212|отметил случае|29
213|намерен обратиться|29
214|ходе встречи|28
215|осужден убийство|28
216|сша барак|28
217|барак обама|28
218|расследования инцидента|28
219|белого дома|28
220|цен нефть|28
221|процента пункта|28
222|нового директора|28
223|отметил настоящее|28
224|выборах госдуму|28
225|назначен пост|27
226|произошел утром|27
227|итоге словам|27
228|ходе переговоров|27
229|ранее среду|27
230|оценкам экспертов|27
231|сообщалось ходе|27
232|ввп страны|27
233|совершении преступлений|27
234|добычи нефти|27
235|ущерб действий|27
236|правам человека|26
237|настоящее россии|26
238|газета ведомости|26
239|частности россии|26
240|составил миллиарда|26
241|нехватки средств|26
242|объем финансирования|26
243|избран президентом|26
244|депутатом госдумы|26
245|качестве кандидата|26
246|результате действий|26
247|кабинета министров|26
248|течение нескольких|26
249|исламское государство|26
250|санкт петербурге|26
251|инцидента погибли|26
252|президентом сша|25
253|барака обамы|25
254|отметил ходе|25
255|крупнейших российских|25
256|таким образом|25
257|санкции россии|25
258|рф нарушение|25
259|частности ходе|25
260|причастности убийству|25
261|отношении представителя|25
262|четверг декабря|24
263|россии насчитывается|24
264|сша барака|24
265|единой россии|24
266|словам адвоката|24
267|удастся выиграть|24
268|размере миллиардов|24
269|указ введении|24
270|протяжении последних|24
271|государства заявил|23
272|ответственность произошедшее|23
273|данным интерфакса|23
274|отметил правительство|23
275|применение насилия|23
276|настоящее вооружении|23
277|ноября президент|23
278|задержанного возбуждено|23
279|отношении задержанного|23
280|объем продаж|23
281|собирается отказываться|23
282|втором месте|23
283|лишения свободы|23
284|согласно данным|23
285|обратиться суд|23
286|россии совершено|22
287|среду июня|22
288|сша сша|22
289|течение ближайших|22
290|рф применение|22
291|виновным причастности|22
292|вооруженный конфликт|22
293|вынуждены покинуть|22
294|качестве свидетеля|22
295|совершено покушение|22
296|представителя министерства|22
297|россии выделено|22
298|нового кабинета|22
299|некоторых районах|22
300|российских банков|21
301|президенту россии|21
302|введении новых|21
303|годом ранее|21
304|начался весной|21
305|владимира путина|21
306|обратиться президенту|21
307|проводится расследование|21
308|самых успешных|21
309|ходе визита|21
310|находится состоянии|21
311|дмитрий медведев|21
312|городах россии|21
313|пройдет москве|21
314|принят закон|21
315|превышении полномочий|21
316|следственная группа|21
317|суд признал|21
318|пишет газета|21
319|дорожного движения|20
320|принятия решения|20
