|word|wordcount
0|погибли получили ранения|3477
1|аварии погибли получили|2414
2|результате аварии погибли|2414
3|объявлен международный розыск|1883
4|результате взрыва погибли|652
5|взрыва погибли получили|652
6|россии введены ограничения|562
7|победителем олимпийских игр|547
8|россии россиян сборы|320
9|россиян сборы картины|320
10|россии победителем олимпийских|286
11|ввести санкции россии|261
12|планирует ввести санкции|261
13|результате взрыва пострадал|250
14|введены ограничения курение|222
15|результате перестрелки погибли|173
16|перестрелки погибли получили|158
17|россии олимпийским чемпионом|143
18|результате атаки погибли|143
19|введены ограничения ввоз|138
20|особо крупном размере|123
21|ввоз продуктов питания|120
22|введены ограничения продажу|119
23|ограничения продажу алкоголя|119
24|ограничения ввоз продуктов|117
25|россии тонн нефти|115
26|атаки погибли получили|109
27|результате катастрофы погибли|104
28|катастрофы погибли получили|104
29|получила экспорта нефти|99
30|россии объявлен международный|88
31|ограничения въезд страну|83
32|данным агентства результате|83
33|введены ограничения въезд|83
34|питания введены эксплуатацию|82
35|продуктов питания введены|82
36|мошенничестве особо крупном|82
37|обвинению мошенничестве особо|82
38|осужден обвинению мошенничестве|82
39|агентства результате взрыва|79
40|россии достигла процента|71
41|инфляция россии достигла|71
42|депутатом госдумы вопросам|52
43|избран депутатом госдумы|52
44|госдумы вопросам здравоохранения|52
45|россии миллиона долларов|47
46|россии победителем тендера|45
47|россии чемпионом хоккею|42
48|мошенничество особо крупном|41
49|осужден мошенничество особо|41
50|включая получили ранения|36
51|погибли включая получили|36
52|размере миллиардов долларов|35
53|атаки погибли включая|34
54|топливо размере миллиардов|33
55|хоккею выиграв чемпионат|33
56|выиграв чемпионат футболу|33
57|олимпийским чемпионом футболу|29
58|чемпионом хоккею выиграв|29
59|санкции россии пошлин|27
60|россии владимиром путиным|26
61|составе сборной россии|26
62|россии пошлин топливо|26
63|избран президентом россии|26
64|получила общего объема|26
65|пошлин топливо размере|26
66|объема добычи нефти|26
67|президентом россии владимиром|26
68|провел матчей забил|26
69|общего объема добычи|26
70|получила миллиардов долларов|24
71|ограничения ввоз мяса|21
72|сборной россии полузащитник|21
73|россии полузащитник провел|21
74|полузащитник провел матчей|21
75|ввоз мяса птицы|21
76|матчей забил мячей|21
77|мяса птицы рубежа|20
78|результате землетрясения погибли|20
79|результате теракта погибли|19
80|россии россии введено|19
81|россии введено эксплуатацию|19
82|теракта погибли получили|19
83|получили ранения различной|18
84|различной степени тяжести|18
85|ранения различной степени|18
86|россии процента процента|17
87|общего числа мигрантов|17
88|получила общего числа|17
89|россии подано евро|16
90|санкции россии россии|16
91|перестрелки погибли двое|15
92|квадратных метров жилья|15
93|чемпионом хоккею пройдет|14
94|вопросам здравоохранения россии|14
95|хоккею пройдет бразилии|14
96|россии составил процента|13
97|ввп россии составил|13
98|миллиона тонн нефти|12
99|статье ук рф|12
100|уголовное статье ук|12
101|произошедшего возбуждено уголовное|12
102|землетрясения погибли получили|12
103|ук рф нарушение|12
104|рф нарушение правил|12
105|факту произошедшего возбуждено|12
106|возбуждено уголовное статье|12
107|россии премию грэмми|11
108|введено эксплуатацию миллиона|11
109|экспорта нефти продукции|11
110|двое получили ранения|11
111|погибли двое получили|11
112|россии премию оскар|11
113|нарушение правил безопасности|10
114|результате инцидента пострадал|10
115|правил безопасности движения|10
116|войну ираке ираке|9
117|заключила иран войну|9
118|осужден обвинению убийстве|9
119|иран войну ираке|9
120|сообщает официальный сайт|9
121|обвинению убийстве ребенка|9
122|тысячи квадратных метров|8
123|эксплуатацию тысячи квадратных|8
124|осужден обвинению превышении|8
125|введено эксплуатацию тысячи|8
126|обвинению превышении полномочий|8
127|россии сыграет победителем|7
128|эксплуатацию миллиона квадратных|7
129|ан ан ан|7
130|сборная россии сыграет|7
131|су су су|7
132|поставлять топливо размере|7
133|россии миллиона тонн|7
134|планирует поставлять топливо|7
135|должности губернатора области|7
136|получила право эксплуатацию|7
137|землетрясения погибли включая|7
138|отстранен должности губернатора|7
139|миллиона квадратных метров|7
140|официальный сайт нба|6
141|россии миллиардов долларов|6
142|россии данным министерства|6
143|данным результате взрыва|6
144|погибли включая числе|6
145|данным министерства обороны|6
146|предварительным данным результате|6
147|форвард провел матчей|5
148|матче отборочного турнира|5
149|россии сезона форвард|5
150|матчей забил голов|5
151|россии отношении ряда|5
152|получила право чемпионат|5
153|россии миллиона рублей|5
154|санкции россии отношении|5
155|право чемпионат футболу|5
156|чемпионате россии сезона|5
157|планирует потратить миллиардов|5
158|рио де жанейро|5
159|сезона форвард провел|5
160|финале кубка дэвиса|5
161|потратить миллиардов долларов|5
162|инфляция россии составила|4
163|военнослужащих включая су|4
164|россии чемпионом футболу|4
165|кубка дэвиса сборная|4
166|сборной россии хоккею|4
167|россии хоккею выиграв|4
168|россии составила процента|4
169|чемпионом россии составе|4
170|россии составе сборной|4
171|действуют американских военнослужащих|4
172|предварительным данным погибли|4
173|мэром нижнего новгорода|4
174|издания результате взрыва|4
175|отношении ряда стран|4
176|стран членов евросоюза|4
177|россии действуют американских|4
178|россии занимал пост|4
179|избран мэром нижнего|4
180|россии принят закон|4
181|данным погибли получили|4
182|дэвиса сборная россии|4
183|ряда стран членов|4
184|погибли двое ранены|4
185|американских военнослужащих включая|4
186|данным издания результате|4
187|эксплуатацию миллиона тонн|4
188|сыграет победителем пары|4
189|включая су су|4
190|первом матче отборочного|3
191|нефти пошлин добычу|3
192|заключила иран украину|3
193|олимпийских игр рио|3
194|премию грэмми литве|3
195|сотрудников правоохранительных органов|3
196|отборочного турнира сборная|3
197|турнира сборная россии|3
198|продала миллиардов долларов|3
199|перестрелки сотрудников правоохранительных|3
200|экспорта нефти пошлин|3
201|полицейские обнаружили тела|3
202|результате терактов погибли|3
203|игр рио де|3
204|агентства результате землетрясения|3
205|планирует ввести эмбарго|3
206|занимал пост президента|3
207|ограничения курение литве|3
208|пошлин добычу нефти|3
209|результате перестрелки сотрудников|3
210|сыграет победителем олимпийских|3
211|ввести эмбарго ввоз|3
212|иран украину европу|3
213|эмбарго ввоз продуктов|3
214|терактов погибли получили|3
215|официальный сайт лиги|3
216|де жанейро августа|2
217|экспертов миллиона тонн|2
218|правил дорожного движения|2
219|планирует потратить вооружение|2
220|принят закон запрете|2
221|пост президента сша|2
222|оценкам экспертов миллиона|2
223|пары финале кубка|2
224|результате перестрелки нападавших|2
225|су су ан|2
226|сша барака обамы|2
227|победителем пары финале|2
228|санкции россии размере|2
229|нарушение правил дорожного|2
230|форвард перешел челси|2
231|россии оценкам экспертов|2
232|россии размере миллиардов|2
233|словам представителя следственного|2
234|принят закон бюджете|2
235|победителем пары матче|2
236|происшествия полицейские обнаружили|2
237|футболу пройдет бразилии|2
238|правоохранительных органов получил|2
239|перестрелки нападавших погиб|2
240|россии рио де|2
241|пары матче отборочного|2
242|представителя следственного комитета|2
243|запрете пропаганды вступил|2
244|нападавших погиб ранен|2
245|россии стран снг|2
246|вступил силу сентября|2
247|президента сша барака|2
248|отборочного турнира евро|2
249|составил процента процента|2
250|сборной россии футболу|2
251|закон запрете пропаганды|2
252|органов получил ранения|2
253|прибывшие происшествия полицейские|2
254|пропаганды вступил силу|2
255|чемпионом россии рио|2
256|су ан ан|2
257|ранения получил ранения|1
258|сможет поставлять топливо|1
259|россии выделено миллиардов|1
260|государственной думы вопросам|1
261|хоккею обыграла сборную|1
262|отношении ряда компаний|1
263|результате перестрелки погиб|1
264|людей приговорили пожизненному|1
265|включен состав сборной|1
266|штата нью йорк|1
267|действуют включая сирию|1
268|министерства обороны миллиардов|1
269|перешел челси составе|1
270|россии хоккею обыграла|1
271|финале лиги чемпионов|1
272|чемпионов пройдет бразилии|1
273|обнаружили тела погибших|1
274|задержаны числе детей|1
275|тела неизвестного водителя|1
276|падения самолета ан|1
277|погибли включая включая|1
278|долларов миллиардов долларов|1
279|годам лишения свободы|1
280|тела троих погибших|1
281|нападения погибли получили|1
282|грозит лишения свободы|1
283|занимал пост министра|1
284|россии инфляция россии|1
285|победителем конкурса евровидение|1
286|органов погиб ранен|1
287|двое молодых людей|1
288|вооружение миллиардов кубометров|1
289|ввести войска россии|1
290|финала кубка дэвиса|1
291|россии выплатит ввоз|1
292|ввоз продовольствия россию|1
293|россии подано числе|1
294|землетрясения погибли числе|1
295|чемпионом хоккею состоялся|1
296|ракетных обстрелов погибли|1
297|пост президента россии|1
298|россии поставляться украину|1
299|премию оскар премию|1
300|чемпионат футболу пройдет|1
301|первом матче финала|1
302|объявлен победителем конкурса|1
303|евровидение пройдет москве|1
304|миллиардов долларов миллиардов|1
305|следствия результате взрыва|1
306|ранения ног получил|1
307|получил ранения ног|1
308|иран планирует потратить|1
309|челси составе сборной|1
310|заключила россии поставляться|1
311|получил ранения получил|1
312|нефти продукции украину|1
313|задержали ресторане офисе|1
314|данным полиции результате|1
315|приговорили пожизненному заключению|1
316|заключила иран сможет|1
317|избран губернатором штата|1
318|комитета грозит лишения|1
319|молодых людей приговорили|1
320|обстрелов погибли получили|1
321|пост министра иностранных|1
322|президента россии занимал|1
323|погиб получил ранения|1
324|ног получил ранения|1
325|данным следствия задержан|1
326|приговорен годам лишения|1
327|агентства результате перестрелки|1
328|рублей миллиардов рублей|1
329|губернатором штата нью|1
330|водителя пистолет макарова|1
331|долларов вооружение миллиардов|1
332|россии действуют включая|1
333|сборная россии хоккею|1
334|продовольствия россию миллиона|1
335|экспорта нефти процента|1
336|данным следствия задержаны|1
337|обнаружили тела троих|1
338|комитета задержали ресторане|1
339|результате обстрелов погибли|1
340|результате нападения погибли|1
341|выплатит ввоз продовольствия|1
342|действуют числе беженцев|1
343|данным следствия результате|1
344|следствия задержаны двое|1
345|поставлять топливо россии|1
346|россию миллиона тонн|1
347|экономика россии выросла|1
348|следственного комитета задержали|1
349|россии задержаны числе|1
350|обороны миллиардов долларов|1
351|думы вопросам здравоохранения|1
352|барака обамы процента|1
353|включая включая человека|1
354|планирует ввести войска|1
355|заключила иран территории|1
356|результате падения самолета|1
357|результате ракетных обстрелов|1
358|россии сборы картины|1
359|неизвестного водителя пистолет|1
360|депутатом государственной думы|1
361|правоохранительных органов погиб|1
362|прибывшие полицейские обнаружили|1
363|офисе медиа моста|1
364|иран сможет поставлять|1
365|россии выросла процента|1
366|россии действуют числе|1
367|чемпионом футболу пройдет|1
368|россии приговорен годам|1
369|задержаны двое молодых|1
370|состав сборной россии|1
371|миллиардов долларов вооружение|1
372|россии акций норникеля|1
373|россии отстранен должности|1
374|россии россии выплатит|1
375|лиги чемпионов пройдет|1
376|ресторане офисе медиа|1
377|конкурса евровидение пройдет|1
378|лишения свободы сообщается|1
379|обстрелов погибли включая|1
380|заключила иран планирует|1
381|ан погибли включая|1
382|сборную россии финале|1
383|полиции результате взрыва|1
384|включая сирию сша|1
385|иран территории страны|1
386|миллиардов рублей миллиардов|1
387|обнаружили тела неизвестного|1
388|обыграла сборную россии|1
389|следственного комитета грозит|1
390|матче финала кубка|1
391|выделено миллиардов рублей|1
392|миллиардов кубометров газа|1
393|оскар премию грэмми|1
394|самолета ан погибли|1
395|россии избран губернатором|1
